Time,Currency,Event,Actual,Forecast,Previous
,USD,Core CPI m/m,0.20%,0.20%,0.30%
,USD,CPI m/m,0.30%,0.30%,0.20%
,USD,CPI y/y,2.40%,2.40%,2.40%
,USD,Unemployment Claims,213K,214K,214K
,USD,Core PCE Price Index m/m,0.40%,0.40%,0.40%
,USD,Prelim GDP q/q,0.70%,1.40%,1.40%
,USD,JOLTS Job Openings,6.95M,6.76M,6.55M
6:00pm,USD,Core PPI m/m,0.50%,0.30%,0.80%
6:00pm,USD,PPI m/m,0.70%,0.30%,0.50%
11:30pm,USD,Federal Funds Rate,3.75%,3.75%,3.75%
6:00pm,USD,Unemployment Claims,205K,215K,213K
7:15pm,USD,Flash Manufacturing PMI,52.4,51.5,51.6
7:15pm,USD,Flash Services PMI,51.1,52,51.7
6:00pm,USD,Unemployment Claims,210K,211K,205K
7:30pm,USD,JOLTS Job Openings,6.88M,6.89M,7.24M
5:45pm,USD,ADP Non-Farm Employment Change,62K,41K,66K
6:00pm,USD,Core Retail Sales m/m,0.50%,0.30%,0.00%
6:00pm,USD,Retail Sales m/m,0.60%,0.50%,-0.10%
7:30pm,USD,ISM Manufacturing PMI,52.7,52.3,52.4
6:00pm,USD,Unemployment Claims,202K,212K,211K
6:00pm,USD,Average Hourly Earnings m/m,0.20%,0.30%,0.40%
6:00pm,USD,Non-Farm Employment Change,178K,65K,-133K
6:00pm,USD,Unemployment Rate,4.30%,4.40%,4.40%
7:30pm,USD,ISM Services PMI,54,54.8,56.1
,,naa dhan leo,,,
